job_id,config,project,initial_numPass,is_success,max_numPass,final_fitness,final_iteration,optimal_iteration,first_improvement_iteration,convergence_90_iteration,total_evaluations,actual_executions,predictions,duration_seconds,prediction_rate,time_to_first_improvement_sec
72,FI-50,FruitCatching-37,17,False,21,25.12726503030591,135,,5.0,0,6528,3418,3110,12150.0,47.64093137254902,450.0
73,FI-50,FruitCatching-38,17,False,18,26.21310459796637,108,,1.0,0,5232,2564,2668,12174.0,50.99388379204893,112.72222222222221
74,FI-50,FruitCatching-39,14,False,15,23.89261826627249,132,,1.0,0,6384,3086,3298,12123.0,51.66040100250626,91.8409090909091
75,FI-50,FruitCatching-4,20,False,23,26.58232967805938,111,,1.0,0,5376,2734,2642,12194.0,49.14434523809524,109.85585585585585
76,FI-50,FruitCatching-40,0,False,21,25.188315696649035,83,,1.0,0,4032,2186,1846,12106.0,45.78373015873016,145.855421686747
77,FI-50,FruitCatching-41,16,False,18,24.052028218694883,54,,4.0,0,2640,1355,1285,12199.0,48.67424242424242,903.6296296296296
78,FI-50,FruitCatching-5,1,False,7,24.314584909959493,155,,33.0,118,7488,3657,3831,12162.0,51.16185897435898,2589.329032258064
79,FI-50,FruitCatching-6,19,False,20,25.861648231723123,113,,1.0,0,5472,2776,2696,12128.0,49.26900584795322,107.32743362831859
80,FI-50,FruitCatching-7,5,False,14,26.07445821546944,139,,1.0,9,6720,3248,3472,12182.0,51.66666666666667,87.64028776978418
81,FI-50,FruitCatching-8,2,False,7,25.44857759117733,223,,39.0,41,10752,5161,5591,12128.0,51.999627976190474,2121.040358744395
82,FI-50,FruitCatching-9,8,False,12,24.824917423945408,140,,5.0,10,6768,3233,3535,12103.0,52.231087470449175,432.25
83,FI-70,FruitCatching-1,1,False,5,27.535621013599247,375,,10.0,69,18048,5137,12911,12038.0,71.53701241134752,321.0133333333334
84,FI-70,FruitCatching-10,2,False,3,28.03023782353896,321,,1.0,19,15456,4438,11018,12122.0,71.28623188405797,37.76323987538941
85,FI-70,FruitCatching-11,12,False,12,26.5342146135041,136,,,13,6576,1931,4645,12196.0,70.63564476885644,
86,FI-70,FruitCatching-12,0,False,2,19.34978437613392,389,,11.0,9,18720,5438,13282,5394.0,70.9508547008547,152.52956298200513
87,FI-70,FruitCatching-13,1,False,6,25.280400761843637,330,,84.0,128,15888,4550,11338,4459.0,71.36203423967774,1135.0181818181818
88,FI-70,FruitCatching-14,22,False,24,26.48838383838384,155,,4.0,0,7488,2514,4974,9609.0,66.42628205128204,247.9741935483871
89,FI-70,FruitCatching-15,21,False,21,28.89300373528117,136,,,13,6576,2028,4548,12183.0,69.16058394160584,
90,FI-70,FruitCatching-16,7,False,25,27.1,100,,1.0,0,4848,1641,3207,6070.0,66.1509900990099,60.7
91,FI-70,FruitCatching-17,3,False,9,24.857938992488464,218,,9.0,5,10512,3080,7432,12155.0,70.70015220700152,501.8119266055046
92,FI-70,FruitCatching-18,9,False,15,29.054457016668827,143,,1.0,25,6912,1980,4932,12106.0,71.35416666666666,84.65734265734265
93,FI-70,FruitCatching-19,18,False,19,24.947572020772792,100,,1.0,0,4848,1556,3292,8735.0,67.9042904290429,87.35000000000001
94,FI-70,FruitCatching-2,12,False,15,25.926324414141234,172,,1.0,63,8304,2470,5834,12208.0,70.2552986512524,70.97674418604652
95,FI-70,FruitCatching-20,20,False,21,25.638025210084034,115,,98.0,0,5568,1850,3718,12133.0,66.77442528735632,10339.42608695652
96,FI-70,FruitCatching-21,18,False,22,26.05436507936508,144,,1.0,0,6960,2293,4667,12204.0,67.05459770114942,84.75
97,FI-70,FruitCatching-22,5,False,15,30.55515054288376,211,,1.0,66,10176,2924,7252,12116.0,71.26572327044025,57.421800947867304
98,FI-70,FruitCatching-23,5,False,11,27.93043849753917,135,,1.0,58,6528,1909,4619,12128.0,70.75674019607843,89.83703703703704
99,FI-70,FruitCatching-24,17,False,18,24.690747860782647,124,,1.0,0,6000,1933,4067,12128.0,67.78333333333333,97.80645161290322
100,FI-70,FruitCatching-25,2,False,9,28.28149077762941,201,,1.0,32,9696,2839,6857,12094.0,70.71988448844884,60.16915422885572
101,FI-70,FruitCatching-26,16,False,16,26.148265212081405,180,,,12,8688,2563,6125,12119.0,70.49953959484347,
102,FI-70,FruitCatching-27,17,False,18,26.05013324616109,140,,30.0,13,6768,2052,4716,12151.0,69.68085106382979,2603.785714285714
103,FI-70,FruitCatching-28,26,False,27,27.933333333333334,118,,70.0,0,5712,1920,3792,12175.0,66.38655462184873,7222.457627118643
104,FI-70,FruitCatching-29,21,False,22,25.6189393939394,101,,101.0,0,4896,1565,3331,11216.0,68.03513071895425,11216.0
105,FI-70,FruitCatching-3,12,False,15,25.318251081139064,176,,1.0,1,8496,2427,6069,12138.0,71.43361581920904,68.9659090909091
106,FI-70,FruitCatching-30,13,False,16,26.954699511217747,165,,1.0,38,7968,2333,5635,12142.0,70.72038152610442,73.5878787878788
107,FI-70,FruitCatching-31,15,False,16,28.134437694902736,215,,1.0,34,10368,2991,7377,12056.0,71.15162037037037,56.074418604651164
108,FI-70,FruitCatching-32,22,False,25,26.29503927512141,130,,2.0,0,6288,2105,4183,12169.0,66.5235368956743,187.21538461538464
109,FI-70,FruitCatching-33,17,False,20,25.40079365079365,228,,1.0,0,10992,3656,7336,11708.0,66.73944687045123,51.35087719298245
110,FI-70,FruitCatching-34,24,False,24,26.228921270997773,100,,,0,4848,1572,3276,9210.0,67.57425742574257,
111,FI-70,FruitCatching-35,23,False,23,26.152380952380955,197,,,0,9504,3128,6376,9638.0,67.08754208754209,
112,FI-70,FruitCatching-36,4,False,10,27.16211383599316,231,,1.0,53,11136,3285,7851,12067.0,70.50107758620689,52.23809523809524
113,FI-70,FruitCatching-37,17,False,20,27.102686504721536,583,,1.0,0,28032,8191,19841,12047.0,70.77982305936074,20.663807890222984
114,FI-70,FruitCatching-38,17,False,18,26.71233885638738,127,,4.0,0,6144,1775,4369,12263.0,71.11002604166666,386.23622047244095
115,FI-70,FruitCatching-39,14,False,15,24.543718290414915,255,,1.0,0,12288,3550,8738,12118.0,71.11002604166666,47.52156862745098
116,FI-70,FruitCatching-4,20,False,21,27.32766187445849,162,,1.0,0,7824,2456,5368,12192.0,68.60940695296523,75.25925925925925
117,FI-70,FruitCatching-40,20,False,21,25.09902998236332,100,,1.0,0,4848,1652,3196,6948.0,65.92409240924091,69.48
118,FI-70,FruitCatching-41,16,False,18,24.401818134661276,138,,1.0,0,6672,2217,4455,12191.0,66.77158273381295,88.34057971014492
119,FI-70,FruitCatching-5,1,False,2,23.10222054349492,347,,135.0,74,16704,4816,11888,12108.0,71.16858237547893,4710.605187319885
120,FI-70,FruitCatching-6,19,False,21,26.29941725037909,309,,7.0,0,14880,4309,10571,12092.0,71.04166666666667,273.9288025889968
